id,created_at,updated_at,language,name,description,is_alcoholic,category_id
629,2025-07-09 18:29:27.629+00,2025-07-09 18:29:27.629+00,RUS,Коктейльная вишня,,False,41
630,2025-07-09 18:29:27.635+00,2025-07-09 18:29:27.635+00,RUS,Коктейльные вишни,,False,41
631,2025-07-09 18:29:27.642+00,2025-07-09 18:29:27.642+00,RUS,Кола,,False,17
632,2025-07-09 18:29:27.648+00,2025-07-09 18:29:27.648+00,RUS,Колотый лёд,,False,28
633,2025-07-09 18:29:27.657+00,2025-07-09 18:29:27.657+00,RUS,Коньяк,,True,46
634,2025-07-09 18:29:27.663+00,2025-07-09 18:29:27.663+00,RUS,Кофейный ликер,,True,23
635,2025-07-09 18:29:27.67+00,2025-07-09 18:29:27.67+00,RUS,Красная смородина,,False,41
636,2025-07-09 18:29:27.677+00,2025-07-09 18:29:27.677+00,RUS,Красное вино,,True,40
637,2025-07-09 18:29:27.684+00,2025-07-09 18:29:27.684+00,RUS,Красный портвейн,,False,37
638,2025-07-09 18:29:27.69+00,2025-07-09 18:29:27.69+00,RUS,Кружок ананаса,,False,31
639,2025-07-09 18:29:27.696+00,2025-07-09 18:29:27.696+00,RUS,Лайм,,False,31
640,2025-07-09 18:29:27.703+00,2025-07-09 18:29:27.703+00,RUS,Ликер amaretto,,True,23
641,2025-07-09 18:29:27.708+00,2025-07-09 18:29:27.708+00,RUS,Ликер angostura,,True,23
642,2025-07-09 18:29:27.714+00,2025-07-09 18:29:27.714+00,RUS,Ликер anisette,,True,23
643,2025-07-09 18:29:27.72+00,2025-07-09 18:29:27.72+00,RUS,Ликер apricol brandy,,True,23
644,2025-07-09 18:29:27.726+00,2025-07-09 18:29:27.726+00,RUS,Ликер apricot brandy,,True,23
645,2025-07-09 18:29:27.732+00,2025-07-09 18:29:27.732+00,RUS,Ликер b&b,,True,23
646,2025-07-09 18:29:27.738+00,2025-07-09 18:29:27.738+00,RUS,Ликер bailey's irish creame,,True,23
647,2025-07-09 18:29:27.744+00,2025-07-09 18:29:27.744+00,RUS,Ликер barack,,True,23
648,2025-07-09 18:29:27.75+00,2025-07-09 18:29:27.75+00,RUS,Ликер batida de coco,,True,23
649,2025-07-09 18:29:27.756+00,2025-07-09 18:29:27.756+00,RUS,Ликер benedictine dom,,True,23
650,2025-07-09 18:29:27.762+00,2025-07-09 18:29:27.762+00,RUS,Ликер cherry brandy,,True,23
651,2025-07-09 18:29:27.768+00,2025-07-09 18:29:27.768+00,RUS,Ликер cherry heering,,True,23
652,2025-07-09 18:29:27.774+00,2025-07-09 18:29:27.774+00,RUS,Ликер cointreau,,True,23
653,2025-07-09 18:29:27.781+00,2025-07-09 18:29:27.781+00,RUS,Ликер creme de cacao,,True,23
654,2025-07-09 18:29:27.787+00,2025-07-09 18:29:27.787+00,RUS,Ликер creme de cassis,,True,23
655,2025-07-09 18:29:27.793+00,2025-07-09 18:29:27.793+00,RUS,Ликер creme de menthe,,True,23
656,2025-07-09 18:29:27.8+00,2025-07-09 18:29:27.8+00,RUS,Ликер creme debanane,,True,23
657,2025-07-09 18:29:27.806+00,2025-07-09 18:29:27.806+00,RUS,Ликер creme decassis,,True,23
658,2025-07-09 18:29:27.812+00,2025-07-09 18:29:27.812+00,RUS,Ликер cremede menthe,,True,23
659,2025-07-09 18:29:27.818+00,2025-07-09 18:29:27.818+00,RUS,Ликер crenadine,,True,23
660,2025-07-09 18:29:27.824+00,2025-07-09 18:29:27.824+00,RUS,Ликер crème de banane,,True,23
661,2025-07-09 18:29:27.83+00,2025-07-09 18:29:27.83+00,RUS,Ликер crème de café,,True,23
662,2025-07-09 18:29:27.836+00,2025-07-09 18:29:27.836+00,RUS,Ликер crème de cassis,,True,23
663,2025-07-09 18:29:27.843+00,2025-07-09 18:29:27.843+00,RUS,Ликер crème de menthe,,True,23
664,2025-07-09 18:29:27.849+00,2025-07-09 18:29:27.849+00,RUS,Ликер curacao blue,,True,23
665,2025-07-09 18:29:27.854+00,2025-07-09 18:29:27.854+00,RUS,Ликер curacao triple sec,,True,23
666,2025-07-09 18:29:27.86+00,2025-07-09 18:29:27.86+00,RUS,Ликер curasao,,True,23
667,2025-07-09 18:29:27.867+00,2025-07-09 18:29:27.867+00,RUS,Ликер curasao blue,,True,23
668,2025-07-09 18:29:27.873+00,2025-07-09 18:29:27.873+00,RUS,Ликер curasao orange,,True,23
669,2025-07-09 18:29:27.879+00,2025-07-09 18:29:27.879+00,RUS,Ликер curasao triple sec,,True,23
670,2025-07-09 18:29:27.885+00,2025-07-09 18:29:27.885+00,RUS,Ликер curasao вlue,,True,23
671,2025-07-09 18:29:27.89+00,2025-07-09 18:29:27.89+00,RUS,Ликер de kuyper blue curasao,,True,23
672,2025-07-09 18:29:27.897+00,2025-07-09 18:29:27.897+00,RUS,Ликер de kuyper crème de bananes,,True,23
673,2025-07-09 18:29:27.904+00,2025-07-09 18:29:27.904+00,RUS,Ликер de kuyper crème de cacao,,True,23
674,2025-07-09 18:29:27.91+00,2025-07-09 18:29:27.91+00,RUS,Ликер de kuyper crème de cassis,,True,23
675,2025-07-09 18:29:27.916+00,2025-07-09 18:29:27.916+00,RUS,Ликер de kuyper triple sec,,True,23
676,2025-07-09 18:29:27.922+00,2025-07-09 18:29:27.922+00,RUS,Ликер de kuyper wild strawberry,,True,23
677,2025-07-09 18:29:27.927+00,2025-07-09 18:29:27.927+00,RUS,Ликер drambuie,,True,23
678,2025-07-09 18:29:27.933+00,2025-07-09 18:29:27.933+00,RUS,Ликер escorial,,True,23
679,2025-07-09 18:29:27.939+00,2025-07-09 18:29:27.94+00,RUS,Ликер galliano,,True,23
