id,created_at,updated_at,language,name,description,category_id
492,2025-08-18 16:04:54.104399+00,2025-08-18 16:04:54.104404+00,RUS,Альтбир,NULL,53
493,2025-08-18 16:04:54.105286+00,2025-08-18 16:04:54.10529+00,ENG,Altbier,NULL,6
494,2025-08-18 16:04:54.106731+00,2025-08-18 16:04:54.106736+00,RUS,Раухбир,NULL,53
495,2025-08-18 16:04:54.107652+00,2025-08-18 16:04:54.107656+00,ENG,Rauchbier,NULL,6
496,2025-08-18 16:04:54.109318+00,2025-08-18 16:04:54.109323+00,RUS,Анисовая,NULL,42
497,2025-08-18 16:04:54.110242+00,2025-08-18 16:04:54.110246+00,ENG,Aniseed vodka,NULL,14
498,2025-08-18 16:04:54.111834+00,2025-08-18 16:04:54.11184+00,RUS,Сливовая,NULL,42
499,2025-08-18 16:04:54.112949+00,2025-08-18 16:04:54.112955+00,ENG,Plum,NULL,14
500,2025-08-18 16:04:54.115248+00,2025-08-18 16:04:54.115272+00,RUS,Конопляная,NULL,42
501,2025-08-18 16:04:54.116556+00,2025-08-18 16:04:54.116564+00,ENG,Hemp,NULL,14
502,2025-08-18 16:04:54.118487+00,2025-08-18 16:04:54.118493+00,RUS,Полынная,NULL,42
503,2025-08-18 16:04:54.119393+00,2025-08-18 16:04:54.119397+00,ENG,Wormwood,NULL,14
504,2025-08-18 16:04:54.120925+00,2025-08-18 16:04:54.120929+00,RUS,Рисовая,NULL,42
505,2025-08-18 16:04:54.121682+00,2025-08-18 16:04:54.121685+00,ENG,Rice,NULL,14
506,2025-08-18 16:04:54.123013+00,2025-08-18 16:04:54.123017+00,RUS,Тросниковая,NULL,42
507,2025-08-18 16:04:54.123865+00,2025-08-18 16:04:54.12387+00,ENG,Cane,NULL,14
508,2025-08-18 16:04:54.125337+00,2025-08-18 16:04:54.125341+00,RUS,Сорговая,NULL,42
509,2025-08-18 16:04:54.126149+00,2025-08-18 16:04:54.126153+00,ENG,Sorghum,NULL,14
510,2025-08-18 16:04:54.127501+00,2025-08-18 16:04:54.127505+00,RUS,Яблочная,NULL,42
511,2025-08-18 16:04:54.128481+00,2025-08-18 16:04:54.128485+00,ENG,Apple,NULL,14
512,2025-08-18 16:04:54.130013+00,2025-08-18 16:04:54.13002+00,RUS,Пшеничная,NULL,42
513,2025-08-18 16:04:54.131171+00,2025-08-18 16:04:54.131179+00,ENG,Wheat,NULL,14
514,2025-08-18 16:04:54.132827+00,2025-08-18 16:04:54.132831+00,RUS,Ягодная,NULL,42
515,2025-08-18 16:04:54.133634+00,2025-08-18 16:04:54.133638+00,ENG,Berry,NULL,14
516,2025-08-18 16:04:54.13496+00,2025-08-18 16:04:54.134964+00,RUS,Цитрусовая,NULL,42
517,2025-08-18 16:04:54.135762+00,2025-08-18 16:04:54.135766+00,ENG,Citrus,NULL,14
518,2025-08-18 16:04:54.13715+00,2025-08-18 16:04:54.137154+00,RUS,Пряная,NULL,42
519,2025-08-18 16:04:54.137958+00,2025-08-18 16:04:54.137962+00,ENG,Spiced,NULL,14
520,2025-08-18 16:04:54.1393+00,2025-08-18 16:04:54.139304+00,RUS,Травяная,NULL,42
521,2025-08-18 16:04:54.140147+00,2025-08-18 16:04:54.140151+00,ENG,Herbal,NULL,14
522,2025-08-18 16:04:54.141588+00,2025-08-18 16:04:54.141592+00,RUS,Фруктовая,NULL,42
523,2025-08-18 16:04:54.142381+00,2025-08-18 16:04:54.142385+00,ENG,Fruit,NULL,14
524,2025-08-18 16:04:54.143707+00,2025-08-18 16:04:54.143711+00,RUS,Лондон сухой джин,NULL,45
525,2025-08-18 16:04:54.144495+00,2025-08-18 16:04:54.144499+00,ENG,London Dry Gin,NULL,20
526,2025-08-18 16:04:54.145878+00,2025-08-18 16:04:54.145882+00,RUS,Плимутский,NULL,45
527,2025-08-18 16:04:54.146896+00,2025-08-18 16:04:54.146901+00,ENG,Plymouth,NULL,20
528,2025-08-18 16:04:54.149257+00,2025-08-18 16:04:54.149266+00,RUS,Старый Том,NULL,45
529,2025-08-18 16:04:54.1503+00,2025-08-18 16:04:54.150306+00,ENG,Old Tom,NULL,20
530,2025-08-18 16:04:54.151729+00,2025-08-18 16:04:54.151733+00,RUS,Женевер,NULL,45
531,2025-08-18 16:04:54.15256+00,2025-08-18 16:04:54.152563+00,ENG,Genever,NULL,20
532,2025-08-18 16:04:54.153922+00,2025-08-18 16:04:54.153926+00,RUS,Дистиллированный,NULL,45
533,2025-08-18 16:04:54.15474+00,2025-08-18 16:04:54.154754+00,ENG,Distilled Gin,NULL,20
534,2025-08-18 16:04:54.156102+00,2025-08-18 16:04:54.156105+00,RUS,Желтый,NULL,45
535,2025-08-18 16:04:54.156873+00,2025-08-18 16:04:54.156877+00,ENG,Yellow,NULL,20
536,2025-08-18 16:04:54.158216+00,2025-08-18 16:04:54.158219+00,RUS,"Белый (серебряный, светлый)",NULL,49
537,2025-08-18 16:04:54.159017+00,2025-08-18 16:04:54.15902+00,ENG,"White (silver, light)",NULL,1
538,2025-08-18 16:04:54.160371+00,2025-08-18 16:04:54.160375+00,RUS,Золотой (янтарный),NULL,49
539,2025-08-18 16:04:54.161094+00,2025-08-18 16:04:54.161097+00,ENG,Golden (amber),NULL,1
